confidence,tp,fp,fn,tn,precision,recall,specificity,iou,dice,pixel_accuracy
0.05,98236,40167,20513,52269884,0.7097823024067398,0.8272574926946753,0.9992321360956042,0.6181630546955624,0.764030612244898,0.9988426208496094
0.1,97269,34135,21480,52275916,0.7402286079571399,0.8191142662253998,0.9993474485429196,0.6362274665759661,0.777676062249903,0.9989392280578613
0.15,94593,31935,24156,52278116,0.7476052731411229,0.7965793396154915,0.9993895054699908,0.6277574261368161,0.7713156961313128,0.9989301490783692
0.2,94279,31603,24470,52278448,0.7489474269554027,0.7939351068219522,0.9993958522426216,0.6270551771842078,0.7707853869705802,0.9989304924011231
0.25,92688,29630,26061,52280421,0.7577625533445609,0.7805370992597832,0.9994335696594905,0.6246706070266008,0.7689812375812534,0.9989377784729004
0.3,90316,28976,28433,52281075,0.7571002246588203,0.7605621942079512,0.9994460720369016,0.6113792519884921,0.7588272608500216,0.9989050102233886
0.35,89654,28331,29095,52281720,0.7598762554562021,0.7549874104202983,0.9994584023632476,0.6095594234430242,0.7574239441736295,0.9989046859741211
0.4,83431,27196,35318,52282855,0.7541648964538494,0.7025827585916513,0.9994800999142593,0.5716605570591661,0.7274605887276786,0.9988076400756836
0.45,81452,26388,37297,52283663,0.7553041543026706,0.6859173550935166,0.9994955462765654,0.5612076865306572,0.718940460481312,0.9987853050231934
0.5,79208,25491,39541,52284560,0.7565306258894545,0.6670203538556114,0.9995126940327396,0.5491403216860787,0.70896136908811,0.9987596130371094
0.55,74842,23414,43907,52286637,0.7617041198501873,0.6302537284524501,0.9995523995952518,0.5264520304157904,0.6897721250662427,0.9987159538269043
0.6,74403,22833,44346,52287218,0.7651795631247686,0.6265568552156229,0.9995635064473556,0.5255117175912192,0.6889645114244045,0.9987186622619629
0.65,71328,21589,47421,52288462,0.7676528514695912,0.6006619003107394,0.9995872877279359,0.508258632729553,0.6739674770629199,0.9986837387084961
0.7,66245,20371,52504,52289680,0.7648125057726055,0.5578573293248785,0.9996105719721053,0.476171650373778,0.6451440118812846,0.9986100196838379
0.75,63167,19907,55582,52290144,0.7603702722873582,0.5319371110493563,0.9996194421603604,0.45556629356104317,0.6259643350856939,0.9985601615905761
0.8,58902,17708,59847,52292343,0.7688552408301789,0.4960210191243716,0.9996614799706466,0.4316524619477198,0.6030129146852717,0.9985207557678223
0.85,54233,14486,64516,52295565,0.7891994935898369,0.4567027932866803,0.9997230742520209,0.4070476976770368,0.5785840783493716,0.9984931564331054
0.9,36895,10595,81854,52299456,0.7769004000842282,0.3106973532408694,0.9997974576625819,0.2852470930232558,0.44387899349731413,0.9982366752624512
0.95,12244,3470,106505,52306581,0.7791778032327861,0.10310823670094064,0.9999336647559376,0.10018082294896866,0.1821170136022549,0.9979023933410645
